City,state,zone,latitude,longitude,date,CPCB_PM25,CPCB_PM10,CPCB_NO2_surface,CPCB_SO2,CPCB_CO_surface,CPCB_O3,CPCB_AQI,insat_aod,qa_flag,solar_zenith_angle,satellite_zenith_angle
Delhi,Delhi,North,28.6139,77.209,2024-01-15,123.42,265.44,49.8,24.92,2.278,40.16,304,0.5839099507798191,0,28.58,14.82
Delhi,Delhi,North,28.6139,77.209,2024-01-16,139.76,227.9,55.79,27.25,1.72,34.31,316,0.6359864891831617,2,29.68,14.41
Delhi,Delhi,North,28.6139,77.209,2024-01-17,128.64,266.63,40.18,9.13,2.034,33.64,308,0.6880630275865043,0,30.78,14.0
Delhi,Delhi,North,28.6139,77.209,2024-01-18,129.65,225.12,53.21,24.43,2.497,39.34,308,0.6886579254412848,2,29.945,16.345
Delhi,Delhi,North,28.6139,77.209,2024-01-19,137.3,298.45,54.07,22.32,1.429,26.87,314,0.6892528232960652,0,29.11,18.69
Delhi,Delhi,North,28.6139,77.209,2024-01-20,117.97,180.01,55.42,34.73,1.873,40.61,293,0.6815231366209047,2,31.009999999999998,18.560000000000002
Delhi,Delhi,North,28.6139,77.209,2024-01-21,131.75,288.53,43.13,26.25,1.586,29.84,310,0.6737934499457442,0,32.91,18.43
Delhi,Delhi,North,28.6139,77.209,2024-01-22,143.26,287.92,68.85,15.4,2.107,59.5,319,0.7215665988186449,0,31.82,14.08
Delhi,Delhi,North,28.6139,77.209,2024-01-23,116.18,177.59,49.16,30.94,2.193,37.68,287,0.6191120086041868,0,32.1,8.36
Delhi,Delhi,North,28.6139,77.209,2024-01-24,124.92,207.18,44.2,24.78,1.655,53.09,305,0.6021117186271032,2,32.765,12.0
Delhi,Delhi,North,28.6139,77.209,2024-01-25,117.99,253.37,51.6,20.63,2.098,48.03,293,0.5851114286500197,0,33.43,15.64
Delhi,Delhi,North,28.6139,77.209,2024-01-26,136.96,258.68,38.74,23.33,2.009,45.41,314,0.682566622527015,0,31.43,14.93
Delhi,Delhi,North,28.6139,77.209,2024-01-27,109.82,220.54,41.61,25.5,2.296,39.85,266,0.7038425847872564,2,31.994999999999997,14.995
Delhi,Delhi,North,28.6139,77.209,2024-01-28,140.38,211.47,57.75,18.84,2.49,42.33,317,0.7251185470474977,2,32.56,15.059999999999999
Delhi,Delhi,North,28.6139,77.209,2024-01-29,109.07,217.99,61.38,18.65,1.592,45.29,264,0.7463945093077391,2,33.125,15.125
Delhi,Delhi,North,28.6139,77.209,2024-01-30,145.23,304.18,63.04,31.89,1.857,30.05,320,0.7676704715679804,0,33.69,15.19
Delhi,Delhi,North,28.6139,77.209,2024-01-31,112.11,244.52,46.66,26.8,1.859,49.68,274,0.7081581009722473,2,33.655,15.18
Delhi,Delhi,North,28.6139,77.209,2024-02-01,132.75,245.83,52.17,36.01,2.118,29.02,311,0.6486457303765142,0,33.62,15.17
Delhi,Delhi,North,28.6139,77.209,2024-02-02,107.83,232.73,59.64,21.79,2.153,33.07,260,0.507280888588217,0,35.94,13.04
Delhi,Delhi,North,28.6139,77.209,2024-02-03,134.75,238.44,50.35,26.69,1.995,25.13,312,0.6640881545138299,1,36.57,11.92
Delhi,Delhi,North,28.6139,77.209,2024-02-04,124.87,237.14,58.67,23.56,1.688,48.16,305,0.631173798038124,0,37.36,15.65
Delhi,Delhi,North,28.6139,77.209,2024-02-05,122.22,246.7,65.65,27.68,1.517,28.21,303,0.6345546861533192,0,36.86,15.74
Delhi,Delhi,North,28.6139,77.209,2024-02-06,128.33,270.38,59.96,22.53,2.192,51.96,307,0.6491647855103765,0,36.96,15.73
Delhi,Delhi,North,28.6139,77.209,2024-02-07,119.85,234.31,64.36,25.67,1.836,45.18,300,0.6462140363776755,2,37.44,15.83
Delhi,Delhi,North,28.6139,77.209,2024-02-08,107.28,204.34,52.45,22.21,1.77,19.71,258,0.6432632872449746,2,37.92,15.930000000000001
Delhi,Delhi,North,28.6139,77.209,2024-02-09,123.34,236.03,50.1,27.85,1.95,26.81,304,0.6403125381122736,0,38.4,16.03
Delhi,Delhi,North,28.6139,77.209,2024-02-10,106.36,205.91,61.61,34.35,2.484,51.23,255,0.6019086000681493,2,38.62,15.466666666666667
Delhi,Delhi,North,28.6139,77.209,2024-02-11,128.61,280.76,34.57,23.34,1.732,46.12,308,0.5635046620240249,2,38.84,14.903333333333334
Delhi,Delhi,North,28.6139,77.209,2024-02-12,103.36,156.88,53.67,18.55,2.429,34.25,245,0.5251007239799006,0,39.06,14.34
Delhi,Delhi,North,28.6139,77.209,2024-02-13,109.55,183.51,72.47,24.43,1.552,46.77,266,0.5603320762423404,2,39.2975,13.925
Delhi,Delhi,North,28.6139,77.209,2024-02-14,145.2,260.44,65.14,18.76,1.547,35.22,320,0.5955634285047802,2,39.535,13.51
Delhi,Delhi,North,28.6139,77.209,2024-02-15,140.48,220.35,22.41,17.29,1.855,25.11,317,0.6307947807672201,2,39.7725,13.094999999999999
Delhi,Delhi,North,28.6139,77.209,2024-02-16,135.92,264.3,40.52,21.77,1.791,38.18,313,0.6660261330296599,1,40.01,12.68
Delhi,Delhi,North,28.6139,77.209,2024-02-17,145.67,305.84,45.0,24.72,1.99,31.59,321,0.7129610404709313,1,40.1,19.41
Delhi,Delhi,North,28.6139,77.209,2024-02-18,110.5,238.48,50.97,12.92,2.315,31.44,269,0.5594286116883541,0,38.9,17.64
Delhi,Delhi,North,28.6139,77.209,2024-02-19,140.12,263.69,53.3,25.35,2.015,31.36,316,0.7021408257843892,0,38.98,18.46
Delhi,Delhi,North,28.6139,77.209,2024-02-20,104.31,218.16,49.89,19.3,1.824,47.11,248,0.5487036587986969,1,39.56,15.06
Delhi,Delhi,North,28.6139,77.209,2024-02-21,128.2,271.04,62.95,25.56,1.682,31.99,307,0.6671574196643718,0,41.72,17.47
Delhi,Delhi,North,28.6139,77.209,2024-02-22,116.58,255.71,60.92,13.47,1.565,30.9,289,0.5898688847452921,0,40.78,15.41
Delhi,Delhi,North,28.6139,77.209,2024-02-23,121.76,261.97,52.64,27.9,2.178,45.73,302,0.544931084022914,2,41.11333333333334,14.213333333333333
Delhi,Delhi,North,28.6139,77.209,2024-02-24,122.86,211.81,55.03,21.21,2.187,34.88,303,0.499993283300536,2,41.446666666666665,13.016666666666667
Delhi,Delhi,North,28.6139,77.209,2024-02-25,93.02,201.38,55.79,25.39,1.685,58.51,211,0.455055482578158,0,41.78,11.82
Delhi,Delhi,North,28.6139,77.209,2024-02-26,86.05,169.58,42.68,26.26,2.131,30.6,187,0.5019210787217739,0,43.27,15.04
Delhi,Delhi,North,28.6139,77.209,2024-02-27,99.93,188.33,64.57,21.67,1.683,34.38,234,0.5129122205060019,0,41.18,10.83
Delhi,Delhi,North,28.6139,77.209,2024-02-28,105.17,203.26,49.18,20.24,1.992,43.18,251,0.5240811717643953,2,40.96,14.059999999999999
Delhi,Delhi,North,28.6139,77.209,2024-02-29,110.97,172.77,40.34,15.37,1.715,35.46,270,0.5352501230227886,0,40.74,17.29
Delhi,Delhi,North,28.6139,77.209,2024-03-01,101.44,182.28,69.57,20.9,1.929,30.77,239,0.570864685910379,0,43.21,18.17
Delhi,Delhi,North,28.6139,77.209,2024-03-02,94.94,150.31,58.05,18.27,2.086,52.92,217,0.5174407108416963,2,42.400000000000006,14.09
Delhi,Delhi,North,28.6139,77.209,2024-03-03,92.92,157.96,58.84,20.69,2.068,38.29,211,0.4640167357730135,0,41.59,10.01
Delhi,Delhi,North,28.6139,77.209,2024-03-04,108.18,237.47,55.8,18.54,1.938,42.57,261,0.5018942147521969,0,42.55,13.84
Delhi,Delhi,North,28.6139,77.209,2024-03-05,114.07,207.4,64.41,28.41,2.476,36.48,280,0.5721052670692054,0,45.19,14.49
Delhi,Delhi,North,28.6139,77.209,2024-03-06,105.81,204.65,46.42,19.41,1.294,32.33,253,0.5308768982135148,1,41.1,18.2
Delhi,Delhi,North,28.6139,77.209,2024-03-07,78.64,171.6,56.32,12.85,2.039,43.3,163,0.37474598966686,1,45.25,16.1
Delhi,Delhi,North,28.6139,77.209,2024-03-08,103.44,166.94,41.62,31.57,2.285,32.9,245,0.5139450633430946,0,42.8,15.52
Delhi,Delhi,North,28.6139,77.209,2024-03-09,62.04,135.18,68.36,23.79,2.014,13.07,108,0.4619335146814878,2,43.28666666666666,15.806666666666667
Delhi,Delhi,North,28.6139,77.209,2024-03-10,73.07,123.58,54.87,22.64,1.796,43.82,144,0.40992196601988096,2,43.77333333333333,16.093333333333334
Delhi,Delhi,North,28.6139,77.209,2024-03-11,69.41,150.48,53.39,15.57,2.091,48.2,132,0.3579104173582741,0,44.26,16.38
Delhi,Delhi,North,28.6139,77.209,2024-03-12,107.39,188.01,58.14,18.67,2.396,38.75,258,0.5156461612621756,1,42.01,11.95
Delhi,Delhi,North,28.6139,77.209,2024-03-13,100.8,190.13,55.49,27.54,1.981,27.39,237,0.4839239181545636,1,45.07,18.88
Delhi,Delhi,North,28.6139,77.209,2024-03-14,77.9,118.42,61.27,29.25,1.641,44.45,160,0.3763144637357717,0,44.03,17.33
Delhi,Delhi,North,28.6139,77.209,2024-03-15,96.65,171.51,37.23,26.84,1.89,39.59,223,0.4675543571923867,0,45.07,14.32
Delhi,Delhi,North,28.6139,77.209,2024-03-16,47.04,96.36,71.1,15.51,1.42,37.04,79,0.2168071595127486,1,46.13,17.66
Delhi,Delhi,North,28.6139,77.209,2024-03-17,84.19,155.31,54.49,28.02,1.498,36.36,181,0.3671886469959436,0,43.87,16.93
Delhi,Delhi,North,28.6139,77.209,2024-03-18,76.12,121.05,58.48,17.71,1.777,27.0,154,0.4006116831040938,0,43.7,14.98
Delhi,Delhi,North,28.6139,77.209,2024-03-19,75.14,147.82,64.37,20.18,1.788,29.44,151,0.3129994675410917,0,46.25,16.53
Delhi,Delhi,North,28.6139,77.209,2024-03-20,66.52,103.91,53.75,17.23,1.765,25.61,123,0.3092924943883079,2,45.51,17.153333333333332
Delhi,Delhi,North,28.6139,77.209,2024-03-21,103.2,157.64,55.17,24.98,2.292,46.1,245,0.3055855212355242,2,44.77,17.776666666666667
Delhi,Delhi,North,28.6139,77.209,2024-03-22,63.24,127.99,49.51,19.53,1.848,14.57,112,0.3018785480827404,1,44.03,18.4
Delhi,Delhi,North,28.6139,77.209,2024-03-23,48.65,88.72,68.49,26.67,1.634,37.88,81,0.1821377219508358,0,46.32,14.24
Delhi,Delhi,North,28.6139,77.209,2024-03-24,84.73,158.65,53.54,17.63,1.449,39.63,183,0.4235131151302912,0,46.07,16.93
Delhi,Delhi,North,28.6139,77.209,2024-03-25,57.68,87.33,40.6,17.1,1.734,29.86,96,0.3031805945140121,0,44.93,14.14
Delhi,Delhi,North,28.6139,77.209,2024-03-26,62.59,132.9,71.69,26.82,1.928,52.39,110,0.3266802936328652,0,44.95,17.46
Delhi,Delhi,North,28.6139,77.209,2024-03-27,67.84,129.63,46.21,20.21,2.405,33.71,127,0.3534088216318269,0,44.97,13.92
Delhi,Delhi,North,28.6139,77.209,2024-03-28,55.48,97.33,64.08,31.96,1.511,43.22,93,0.3331990101946079,0,44.84,17.44
Delhi,Delhi,North,28.6139,77.209,2024-03-29,54.58,89.0,49.95,18.27,1.767,12.56,91,0.3423381797720926,2,45.085,18.565
Delhi,Delhi,North,28.6139,77.209,2024-03-30,73.45,160.68,52.43,17.87,1.758,45.14,145,0.3514773493495772,0,45.33,19.69
Delhi,Delhi,North,28.6139,77.209,2024-03-31,69.53,149.53,45.04,32.63,2.417,46.92,132,0.3761627151455815,0,44.42,11.7
Delhi,Delhi,North,28.6139,77.209,2024-04-01,49.43,80.62,47.19,13.38,1.442,38.07,83,0.3020937629756306,1,46.18,13.83
Delhi,Delhi,North,28.6139,77.209,2024-04-02,63.6,108.25,45.78,16.71,2.011,65.43,113,0.2666059641272737,0,46.35,14.71
Delhi,Delhi,North,28.6139,77.209,2024-04-03,34.39,52.83,46.21,20.49,2.233,31.82,58,0.2090844893592039,0,45.0,15.12
Delhi,Delhi,North,28.6139,77.209,2024-04-04,69.94,142.13,43.52,18.79,2.661,19.89,134,0.3361980358556227,0,45.6,15.3
Delhi,Delhi,North,28.6139,77.209,2024-04-05,40.78,87.7,58.53,19.39,1.957,36.03,69,0.3373056217440757,2,45.115,15.295
Delhi,Delhi,North,28.6139,77.209,2024-04-06,72.65,116.08,57.36,19.44,2.107,34.41,143,0.3384132076325287,0,44.63,15.29
Delhi,Delhi,North,28.6139,77.209,2024-04-07,49.21,101.88,57.72,32.79,2.192,34.33,82,0.2925878856419891,0,45.93,15.42
Delhi,Delhi,North,28.6139,77.209,2024-04-08,70.89,128.13,50.74,19.03,1.262,48.11,137,0.2645734161839798,2,45.905,13.01
Delhi,Delhi,North,28.6139,77.209,2024-04-09,39.1,72.41,58.09,21.31,2.18,15.48,66,0.2365589467259704,0,45.88,10.6
Delhi,Delhi,North,28.6139,77.209,2024-04-10,54.18,85.7,62.53,23.24,2.101,28.84,90,0.2354022446200268,0,42.73,18.76
Delhi,Delhi,North,28.6139,77.209,2024-04-11,43.53,89.49,61.15,33.76,1.985,40.07,73,0.2198728434125932,0,43.02,14.86
Delhi,Delhi,North,28.6139,77.209,2024-04-12,41.55,69.55,46.32,29.96,2.051,34.12,70,0.2192719634681792,0,44.63,11.74
Delhi,Delhi,North,28.6139,77.209,2024-04-13,59.78,124.04,52.12,17.52,1.797,41.36,100,0.2648965022082666,2,44.43,12.81
Delhi,Delhi,North,28.6139,77.209,2024-04-14,57.62,115.47,45.6,29.34,2.233,21.27,96,0.310521040948354,0,44.23,13.88
Delhi,Delhi,North,28.6139,77.209,2024-04-15,49.4,86.06,37.03,29.89,2.127,37.03,83,0.270719335731828,2,44.413333333333334,15.256666666666668
Delhi,Delhi,North,28.6139,77.209,2024-04-16,48.32,89.59,43.56,21.4,1.945,55.41,81,0.230917630515302,2,44.596666666666664,16.633333333333333
Delhi,Delhi,North,28.6139,77.209,2024-04-17,51.92,111.4,46.91,24.77,2.495,51.04,87,0.191115925298776,0,44.78,18.01
Delhi,Delhi,North,28.6139,77.209,2024-04-18,65.91,141.98,49.71,21.96,2.165,62.98,121,0.3550906279380153,0,43.55,13.63
Delhi,Delhi,North,28.6139,77.209,2024-04-19,48.83,86.89,53.24,20.27,1.627,21.04,82,0.2073083794262912,0,43.45,9.52
Delhi,Delhi,North,28.6139,77.209,2024-04-20,52.29,91.11,55.55,28.76,1.685,22.56,87,0.2869920627713648,0,42.98,12.57
Delhi,Delhi,North,28.6139,77.209,2024-04-21,35.01,63.6,52.36,21.05,1.122,37.05,59,0.1774344735545261,0,43.04,12.74
Delhi,Delhi,North,28.6139,77.209,2024-04-22,34.45,65.67,61.78,17.32,2.086,29.6,58,0.1666428463231877,0,43.69,13.07
Delhi,Delhi,North,28.6139,77.209,2024-04-23,34.44,75.7,80.55,22.71,1.935,37.35,58,0.1616763226448139,0,44.67,16.63
Delhi,Delhi,North,28.6139,77.209,2024-04-24,38.89,63.93,53.37,35.26,1.599,51.48,66,0.1682307764154471,0,43.48,13.9
Delhi,Delhi,North,28.6139,77.209,2024-04-25,5.0,9.04,67.28,12.04,1.828,33.88,8,0.13018305142069814,2,44.3,12.7
Delhi,Delhi,North,28.6139,77.209,2024-04-26,12.87,25.1,47.04,20.6,1.91,42.44,21,0.0921353264259492,1,45.12,11.5
Delhi,Delhi,North,28.6139,77.209,2024-04-27,21.43,42.04,62.04,16.76,1.773,42.48,36,0.11134738311985573,2,44.25333333333333,11.91
Delhi,Delhi,North,28.6139,77.209,2024-04-28,13.75,21.58,61.95,26.48,1.649,39.94,23,0.13055943981376228,2,43.38666666666667,12.32
Delhi,Delhi,North,28.6139,77.209,2024-04-29,34.94,62.13,44.01,25.49,2.109,34.5,59,0.1497714965076688,1,42.52,12.73
Delhi,Delhi,North,28.6139,77.209,2024-04-30,35.12,63.05,42.31,16.2,1.686,50.75,59,0.0998857482538344,2,42.945,12.915
Delhi,Delhi,North,28.6139,77.209,2024-05-01,5.0,8.44,42.01,31.18,1.306,54.56,8,0.05,0,43.37,13.1
Delhi,Delhi,North,28.6139,77.209,2024-05-02,31.6,64.29,53.85,27.27,1.921,34.23,54,0.1410632899019127,0,41.26,13.85
Delhi,Delhi,North,28.6139,77.209,2024-05-03,47.75,72.37,57.9,13.86,1.526,45.02,80,0.2295485080203455,0,40.95,15.67
Delhi,Delhi,North,28.6139,77.209,2024-05-04,29.25,64.04,52.98,15.97,1.961,21.29,49,0.24739562972851473,2,41.4,13.97
Delhi,Delhi,North,28.6139,77.209,2024-05-05,34.12,64.41,65.11,24.77,2.008,47.42,58,0.26524275143668397,2,41.85,12.27
Delhi,Delhi,North,28.6139,77.209,2024-05-06,49.98,81.11,64.96,21.62,2.173,41.43,84,0.2830898731448532,0,42.3,10.57
Delhi,Delhi,North,28.6139,77.209,2024-05-07,5.0,7.66,60.0,18.78,1.987,30.04,8,0.05,0,41.5,15.22
Delhi,Delhi,North,28.6139,77.209,2024-05-08,14.2,24.17,40.75,29.12,1.666,43.33,24,0.0856413223813624,0,42.71,13.51
Delhi,Delhi,North,28.6139,77.209,2024-05-09,5.0,9.17,59.75,23.33,1.673,44.59,8,0.08009228404412735,2,42.75,15.754999999999999
Delhi,Delhi,North,28.6139,77.209,2024-05-10,13.17,24.32,56.04,13.96,2.227,34.07,22,0.0745432457068923,1,42.79,18.0
Delhi,Delhi,North,28.6139,77.209,2024-05-11,24.67,38.31,54.47,31.26,1.743,55.72,41,0.1111077388093534,0,38.63,14.12
Delhi,Delhi,North,28.6139,77.209,2024-05-12,30.91,63.65,49.19,16.97,2.21,19.96,52,0.15970044404085176,2,38.900000000000006,14.92
Delhi,Delhi,North,28.6139,77.209,2024-05-13,36.72,57.43,54.07,25.51,1.984,24.24,62,0.2082931492723501,1,39.17,15.72
Delhi,Delhi,North,28.6139,77.209,2024-05-14,24.54,50.67,60.92,28.84,2.249,33.05,41,0.1276558314036173,0,40.39,16.27
Delhi,Delhi,North,28.6139,77.209,2024-05-15,27.64,50.92,59.11,23.45,2.012,24.82,46,0.1756198116569517,1,39.1,16.01
Delhi,Delhi,North,28.6139,77.209,2024-05-16,5.0,10.74,65.35,28.05,1.907,32.94,8,0.05,0,38.54,18.77
Delhi,Delhi,North,28.6139,77.209,2024-05-17,30.09,62.59,55.78,20.1,1.8,34.5,51,0.1625110344014076,0,40.4,13.89
Delhi,Delhi,North,28.6139,77.209,2024-05-18,19.47,33.84,50.03,21.1,1.971,41.72,32,0.0845277617265157,0,38.31,18.46
Delhi,Delhi,North,28.6139,77.209,2024-05-19,5.0,10.27,65.14,14.98,2.011,46.49,8,0.055258088495465,0,37.56,13.72
Delhi,Delhi,North,28.6139,77.209,2024-05-20,16.13,34.79,65.47,28.53,1.726,32.49,27,0.0857678261074258,0,39.2,15.45
Delhi,Delhi,North,28.6139,77.209,2024-05-21,5.0,9.7,50.36,29.68,2.405,32.36,8,0.1043071475019565,0,39.89,16.48
Delhi,Delhi,North,28.6139,77.209,2024-05-22,7.41,12.96,52.0,17.38,1.615,18.25,12,0.0848348744433029,2,38.24,15.585
Delhi,Delhi,North,28.6139,77.209,2024-05-23,5.0,9.88,64.66,21.34,1.916,44.34,8,0.0653626013846493,0,36.59,14.69
Delhi,Delhi,North,28.6139,77.209,2024-05-24,5.0,10.97,58.64,28.24,2.417,21.89,8,0.05,0,38.4,14.6
Delhi,Delhi,North,28.6139,77.209,2024-05-25,13.19,21.41,48.59,19.63,1.739,49.48,22,0.0531435679015773,0,36.02,10.86
Delhi,Delhi,North,28.6139,77.209,2024-05-26,32.88,65.33,49.11,24.13,1.818,30.54,56,0.1890951175188574,0,36.83,14.16
Delhi,Delhi,North,28.6139,77.209,2024-05-27,5.0,9.38,70.29,31.39,1.747,33.71,8,0.1316727569399601,2,35.849999999999994,15.93
Delhi,Delhi,North,28.6139,77.209,2024-05-28,14.89,29.17,58.16,18.16,1.962,20.11,25,0.0742503963610628,1,34.87,17.7
Delhi,Delhi,North,28.6139,77.209,2024-05-29,5.0,8.41,54.49,31.38,1.775,39.83,8,0.05,0,34.89,16.29
Delhi,Delhi,North,28.6139,77.209,2024-05-30,9.47,17.39,66.7,28.44,2.034,50.83,16,0.05,0,35.45,13.31
Delhi,Delhi,North,28.6139,77.209,2024-05-31,5.0,9.48,60.66,20.61,2.108,48.68,8,0.05,0,35.21,15.39
Delhi,Delhi,North,28.6139,77.209,2024-06-01,21.21,42.17,59.89,27.45,2.39,31.1,35,0.0868848948287403,2,35.59,12.605
Delhi,Delhi,North,28.6139,77.209,2024-06-02,15.73,33.3,53.15,23.14,2.293,29.42,26,0.1237697896574806,0,35.97,9.82
Delhi,Delhi,North,28.6139,77.209,2024-06-03,13.7,28.52,50.89,21.28,1.932,45.77,23,0.0582193721775895,1,34.05,11.48
Delhi,Delhi,North,28.6139,77.209,2024-06-04,5.0,10.93,41.22,26.14,2.124,59.22,8,0.05,0,35.05,18.18
Delhi,Delhi,North,28.6139,77.209,2024-06-05,5.0,10.16,57.01,25.1,1.945,49.68,8,0.05,2,34.303333333333335,16.82
Delhi,Delhi,North,28.6139,77.209,2024-06-06,5.0,10.76,50.35,23.38,2.253,27.33,8,0.05,2,33.556666666666665,15.459999999999999
Delhi,Delhi,North,28.6139,77.209,2024-06-07,8.92,15.54,47.82,20.01,1.969,41.26,15,0.05,1,32.81,14.1
Delhi,Delhi,North,28.6139,77.209,2024-06-08,5.0,7.59,70.47,22.08,1.764,56.4,8,0.0597798941009274,0,33.46,14.23
Delhi,Delhi,North,28.6139,77.209,2024-06-09,5.0,8.07,32.83,25.65,2.227,48.81,8,0.05,1,31.3,13.69
Delhi,Delhi,North,28.6139,77.209,2024-06-10,25.86,43.74,61.32,21.91,2.485,26.89,43,0.05,2,30.9,12.155
Delhi,Delhi,North,28.6139,77.209,2024-06-11,5.0,10.94,47.9,26.9,1.869,30.48,8,0.05,0,30.5,10.62
Delhi,Delhi,North,28.6139,77.209,2024-06-12,5.0,7.61,42.3,29.63,1.906,48.76,8,0.05,0,32.56,14.92
Delhi,Delhi,North,28.6139,77.209,2024-06-13,10.8,22.03,59.39,24.71,2.113,28.15,18,0.05,2,31.835,14.73
Delhi,Delhi,North,28.6139,77.209,2024-06-14,10.37,15.78,56.78,25.95,1.904,51.99,17,0.05,0,31.11,14.54
Delhi,Delhi,North,28.6139,77.209,2024-06-15,5.0,8.2,72.83,18.71,1.926,21.68,8,0.0676779548296425,2,30.455,15.43
Delhi,Delhi,North,28.6139,77.209,2024-06-16,13.76,28.33,50.36,12.96,1.795,13.35,23,0.085355909659285,0,29.8,16.32
Delhi,Delhi,North,28.6139,77.209,2024-06-17,5.0,9.93,62.42,24.27,2.074,37.35,8,0.0736160033549763,0,31.51,14.6
Delhi,Delhi,North,28.6139,77.209,2024-06-18,5.0,7.87,54.78,16.62,2.382,46.36,8,0.05,0,29.26,15.5
Delhi,Delhi,North,28.6139,77.209,2024-06-19,5.0,8.64,55.09,18.03,1.942,34.9,8,0.05,0,29.85,18.35
Delhi,Delhi,North,28.6139,77.209,2024-06-20,5.0,7.78,44.8,21.0,2.47,44.0,8,0.05,2,29.315,15.955000000000002
Delhi,Delhi,North,28.6139,77.209,2024-06-21,5.0,8.09,60.54,23.79,1.691,55.71,8,0.05,0,28.78,13.56
Delhi,Delhi,North,28.6139,77.209,2024-06-22,10.48,22.11,63.77,25.59,2.246,32.24,17,0.0560602944393608,0,29.41,13.24
Delhi,Delhi,North,28.6139,77.209,2024-06-23,24.91,45.26,56.79,24.42,2.585,33.9,42,0.1235003452850911,0,29.69,16.77
Delhi,Delhi,North,28.6139,77.209,2024-06-24,8.28,12.77,48.3,19.99,1.835,41.83,14,0.05,0,28.2,11.07
Delhi,Delhi,North,28.6139,77.209,2024-06-25,13.14,25.76,49.08,37.23,1.902,28.26,22,0.05,0,26.99,14.81
Delhi,Delhi,North,28.6139,77.209,2024-06-26,16.7,36.69,55.2,23.01,2.115,27.36,28,0.05,2,27.08,14.34
Delhi,Delhi,North,28.6139,77.209,2024-06-27,5.0,10.54,38.13,27.07,2.193,18.95,8,0.05,0,27.17,13.87
Delhi,Delhi,North,28.6139,77.209,2024-06-28,5.0,8.8,57.06,27.64,2.436,33.0,8,0.05,0,27.02,15.33
Delhi,Delhi,North,28.6139,77.209,2024-06-29,22.0,46.87,54.43,14.24,1.759,45.6,37,0.1233991919455125,1,25.65,17.82
Delhi,Delhi,North,28.6139,77.209,2024-06-30,8.69,14.32,69.58,29.31,1.743,41.55,14,0.05,0,24.11,16.25
Delhi,Delhi,North,28.6139,77.209,2024-07-01,13.61,22.13,57.43,24.03,1.843,21.09,23,0.05,0,26.45,16.03
Delhi,Delhi,North,28.6139,77.209,2024-07-02,5.67,11.96,62.54,8.17,2.275,20.19,9,0.05,0,25.7,15.71
Delhi,Delhi,North,28.6139,77.209,2024-07-03,5.0,10.89,43.62,26.45,1.557,48.67,8,0.05348220562598025,2,24.66,17.115000000000002
Delhi,Delhi,North,28.6139,77.209,2024-07-04,5.0,7.96,54.35,24.79,1.954,24.76,8,0.0569644112519605,0,23.62,18.52
Delhi,Delhi,North,28.6139,77.209,2024-07-05,22.15,39.91,49.88,25.65,1.513,29.21,37,0.1797169437085775,1,23.43,13.89
Delhi,Delhi,North,28.6139,77.209,2024-07-06,15.32,24.77,51.6,32.79,2.045,41.89,26,0.120201534313531,0,23.03,14.3
